Name,Label,Mass
M458,M458:410.32338,410.32338
M459,M459:410.3322,410.3322
M460,M460:410.98741,410.98741
M461,M461:411.04307,411.04307
M462,M462:411.14959,411.14959
M463,M463:411.2247,411.2247
M464,M464:411.25572,411.25572
M465,M465:411.35926,411.35926
M466,M466:412.16638,412.16638
M467,M467:412.25669,412.25669
M468,M468:412.95708,412.95708
M469,M469:413.00298,413.00298
M470,M470:413.05297,413.05297
M471,M471:413.10372,413.10372
M472,M472:413.33889,413.33889
M473,M473:414.04247,414.04247
M474,M474:414.16337,414.16337
M475,M475:414.18219,414.18219
M476,M476:414.35023,414.35023
M477,M477:414.92333,414.92333
M478,M478:415.06224,415.06224
M479,M479:415.10218,415.10218
M480,M480:415.25655,415.25655
M481,M481:415.31788,415.31788
M482,M482:416.19778,416.19778
M483,M483:416.29394,416.29394
M484,M484:417.17691,417.17691
M485,M485:418.20844,418.20844
M486,M486:418.27327,418.27327
M487,M487:418.94807,418.94807
M488,M488:419.05151,419.05151
M489,M489:419.13126,419.13126
M490,M490:419.23447,419.23447
M491,M491:420.0589,420.0589
M492,M492:420.28885,420.28885
M493,M493:421.02817,421.02817
M494,M494:422.15874,422.15874
M495,M495:422.21264,422.21264
M496,M496:422.2912,422.2912
M497,M497:423.00175,423.00175
M498,M498:424.13809,424.13809
M499,M499:424.95229,424.95229
M500,M500:424.95981,424.95981
M501,M501:427.00211,427.00211
M502,M502:428.21521,428.21521
M503,M503:428.24209,428.24209
M504,M504:428.25156,428.25156
M505,M505:429.23556,429.23556
M506,M506:430.23075,430.23075
M507,M507:431.22062,431.22062
M508,M508:432.21008,432.21008
M509,M509:432.2791,432.2791
M510,M510:435.08264,435.08264
M511,M511:435.29402,435.29402
M512,M512:436.2709,436.2709
M513,M513:436.28396,436.28396
M514,M514:436.97572,436.97572
M515,M515:438.06714,438.06714
M516,M516:438.97887,438.97887
M517,M517:439.01884,439.01884
M518,M518:439.39859,439.39859
M519,M519:440.3495,440.3495
M520,M520:440.99795,440.99795
M521,M521:441.2493,441.2493
M522,M522:441.26022,441.26022
M523,M523:441.37781,441.37781
M524,M524:442.06832,442.06832
M525,M525:442.14938,442.14938
M526,M526:442.32883,442.32883
M527,M527:442.3366,442.3366
M528,M528:442.36509,442.36509
M529,M529:442.97977,442.97977
M530,M530:443.01585,443.01585
M531,M531:443.02529,443.02529
M532,M532:443.67118,443.67118
M533,M533:443.99595,443.99595
M534,M534:444.21012,444.21012
M535,M535:444.2317,444.2317
M536,M536:444.23714,444.23714
M537,M537:444.35236,444.35236
M538,M538:445.00113,445.00113
M539,M539:445.13006,445.13006
M540,M540:445.20753,445.20753
M541,M541:446.11596,446.11596
M542,M542:446.203,446.203
M543,M543:446.22552,446.22552
M544,M544:446.32746,446.32746
M545,M545:447.03986,447.03986
M546,M546:447.21025,447.21025
M547,M547:448.28362,448.28362
M548,M548:449.18969,449.18969
M549,M549:449.20042,449.20042
M550,M550:449.20445,449.20445
M551,M551:451.0796,451.0796
M552,M552:451.16715,451.16715
M553,M553:452.17588,452.17588
M554,M554:452.19594,452.19594
M555,M555:452.21234,452.21234
M556,M556:452.27818,452.27818
M557,M557:453.07812,453.07812
M558,M558:453.15359,453.15359
M559,M559:453.21318,453.21318
M560,M560:453.2494,453.2494
M561,M561:453.41422,453.41422
M562,M562:454.02952,454.02952
M563,M563:454.19157,454.19157
M564,M564:454.22152,454.22152
M565,M565:454.88531,454.88531
M566,M566:454.93623,454.93623
M567,M567:454.9627,454.9627
M568,M568:455.00845,455.00845
M569,M569:455.07786,455.07786
M570,M570:455.2291,455.2291
M571,M571:455.39345,455.39345
M572,M572:456.04472,456.04472
M573,M573:456.93912,456.93912
M574,M574:456.97196,456.97196
M575,M575:457.09342,457.09342
M576,M576:457.20794,457.20794
M577,M577:457.26747,457.26747
M578,M578:458.25751,458.25751
M579,M579:458.3639,458.3639
M580,M580:458.98691,458.98691
M581,M581:459.09477,459.09477
